area;ciudad;conglomerado;panelm;vivienda;hogar;c01;c02;c03;c04a;c05a;c05b;c06a;c06b;c07;c08a;c09;c10;c11;c12;c13;c14;c15a;c16a;c17a;c18;c19;c20a;c21a;estrato;fexp;upm;id_vivienda;id_hogar;periodo
1;10150;013002;022;08;1;2;2;1;2;2;2;2;2;1;2;2;3;3;1;3;1;2;2;2;2;3;3;2;2712;73,4325264490388;010150013002;01015001300202208;010150013002022081;202109
1;10150;015102;024;01;1;3;3;1;2;2;2;2;3;3;2;2;3;1;3;3;3;2;2;2;3;3;3;3;2711;129,916902673374;010150015102;01015001510202401;010150015102024011;202109
1;10150;015102;024;02;1;1;1;2;2;2;2;2;1;2;2;3;3;1;1;3;3;2;2;2;2;2;3;3;2711;129,916902673374;010150015102;01015001510202402;010150015102024021;202109
1;10150;015102;024;03;1;2;2;2;2;2;1;2;3;3;3;3;3;2;1;3;3;2;2;2;2;2;3;3;2711;129,916902673374;010150015102;01015001510202403;010150015102024031;202109
1;10150;015102;024;04;1;2;2;1;1;2;1;2;3;3;3;2;2;1;1;3;3;2;2;2;2;2;2;2;2711;129,916902673374;010150015102;01015001510202404;010150015102024041;202109
1;10150;015102;024;05;1;2;2;2;2;1;2;3;3;3;2;2;2;2;1;3;3;2;2;2;2;2;2;2;2711;129,916902673374;010150015102;01015001510202405;010150015102024051;202109
1;10150;015102;024;06;1;2;2;2;2;2;2;2;2;3;3;3;3;2;1;2;1;2;2;2;3;3;3;3;2711;129,916902673374;010150015102;01015001510202406;010150015102024061;202109
1;10150;015102;024;07;1;2;2;2;2;2;2;2;3;3;3;3;2;3;1;3;3;2;2;2;3;3;3;3;2711;129,916902673374;010150015102;01015001510202407;010150015102024071;202109
1;10150;016003;023;01;1;3;2;2;2;3;2;3;2;3;2;3;2;3;2;3;2;2;2;2;3;3;3;3;2712;129,504791028206;010150016003;01015001600302301;010150016003023011;202109
1;10150;016003;023;02;1;2;2;2;2;2;2;3;2;2;2;2;2;3;3;3;3;2;2;2;3;2;3;2;2712;129,504791028206;010150016003;01015001600302302;010150016003023021;202109
1;10150;016003;023;03;1;3;2;2;2;3;2;3;2;3;2;3;2;3;2;3;3;2;2;2;3;2;2;2;2712;129,504791028206;010150016003;01015001600302303;010150016003023031;202109
1;10150;016003;023;05;1;2;2;2;2;2;2;2;2;3;2;2;2;2;3;3;3;2;2;2;2;2;2;2;2712;129,504791028206;010150016003;01015001600302305;010150016003023051;202109
1;10150;016003;023;06;1;3;1;2;2;3;2;2;2;3;1;2;2;3;3;3;3;2;2;2;3;2;3;2;2712;129,504791028206;010150016003;01015001600302306;010150016003023061;202109
1;10150;016003;023;07;1;2;2;2;2;3;2;3;2;3;2;2;2;3;3;3;3;2;2;2;2;2;3;2;2712;129,504791028206;010150016003;01015001600302307;010150016003023071;202109
1;10150;016003;023;08;1;2;2;2;2;2;2;2;2;3;2;2;2;2;2;3;3;2;2;2;2;2;2;2;2712;129,504791028206;010150016003;01015001600302308;010150016003023081;202109
